PRODUCT CATEGORY,PRODUCT SUB CATEGORY,PRODUCT NAME,STOCKCODE,BRAND NAME,COLOURS,PRICE,DISCOUNTED PRICE,OUT OF STOCK,IMAGE1,ITEM DESCRIPTION / FEATURES,UNIT,CLEARANCE (Y/N),CLEARANCE FROM,Clearance to (Expiry Date),New Arrival (Y/N),New Arrival (Start Date),New Arrival (End Date),
UNIFORMS,FOOTBALL STOCKINGS,Stockings Kenya Stripe Youth,4900000064,CONNATE,GREEN/RED/BLACK/WHITE,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_Kenya_Stripe_Youth_CONNATE_4900000064.JPG,,PR,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings Mesuca,4900000148,MESUCA,BLACK,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_Mesuca_MESUCA_4900000148.JPG,,PAIR,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings New Santos,880000302,ADIDAS,WHITE/BLACK,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_New_Santos_ADIDAS_0880000302.JPG,,PR,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings New Santos,880000303,ADIDAS,BLACK/WHITE,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_New_Santos_ADIDAS_0880000303.JPG,,PR,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings Orange/White,4900000083,MESUCA,ORANGE/WHITE,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_Orange_White_MESUCA_4900000083.JPG,,PR,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings Plain S.Yell,4900000118,MESUCA,S.YELLOW,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_Plain_S_Yell_MESUCA_4900000118.JPG,,PAIR,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings Soccer,790000226,PUMA,BLACK/GOLD,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_Soccer_PUMA_0790000226.JPG,,EACH,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings Soccer Green/White-Sb54282-P,4900000074,MESUCA,GREEN/WHITE,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_Soccer_Green_White_Sb54282_P_MESUCA_4900000074.JPG,,PR,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings Soccer Plain Orange-Sb54282-R,4900000112,MESUCA,ORANGE,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_Soccer_Plain_Orange_Sb54282_R_MESUCA_4900000112.JPG,,PAIR,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings Soccer Plain P.Green-Sb54282-R,4900000113,MESUCA,P.GREEN,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_Soccer_Plain_P_Green_Sb54282_R_MESUCA_4900000113.JPG,,PAIR,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings Soccer Red/White-Sb54282-P,4900000072,MESUCA,RED/WHITE,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_Soccer_Red_White_Sb54282_P_MESUCA_4900000072.JPG,,PR,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings Solid Crew (Pack Of 3Pairs),880002254,ADIDAS,GREY/RED/PURPLE,,,N,,,PACK,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings Solid Crew (Pack Of 3Pairs),880002255,ADIDAS,WHITE,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_Solid_Crew_Pack_Of_3Pairs_ADIDAS_0880002255.JPG,,PACK,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings Solid Crew (Pack Of 3Pairs),880002256,ADIDAS,BLACK,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_Solid_Crew_Pack_Of_3Pairs_ADIDAS_0880002256.JPG,,PACK,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings Tusker Fc ,4900000069,TK,,,,N,,,PAIR,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings White/Yellow,4900000084,MESUCA,WHITE/YELLOW,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_White_Yellow_MESUCA_4900000084.JPG,,PR,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings Yellow/White,4900000075,MESUCA,YELLOW/WHITE,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_Yellow_White_MESUCA_4900000075.JPG,,PR,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings Zebra,983000006,JOMA,BLACK/RED,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_Zebra_JOMA_0983000006.JPG,,PAIR,N,,,N,,,
UNIFORMS,FOOTBALL UNIFORMS,F/Ball Uniform  Europa Ii/Real Jer/Shr Set Of 16,983000017,JOMA,NAVY/SKY,,,Y,,,SET,N,,,N,,,
UNIFORMS,FOOTBALL UNIFORMS,F/Ball Uniform  Europa Ii/Tokio Jersey/Short ,983000016,JOMA,BLACK/WHITE,,,N,UNIFORMS_FOOTBALL_UNIFORMS_F_Ball_Uniform_Europa_Ii_Tokio_Jersey_Short_JOMA_0983000016.JPG,,SET,N,,,N,,,
UNIFORMS,FOOTBALL UNIFORMS,F/Ball Uniform (12 Pcs),980000243,CONNATE,,,,N,UNIFORMS_FOOTBALL_UNIFORMS_F_Ball_Uniform_12_Pcs_CONNATE_0980000243.JPG,,SET,N,,,N,,,
UNIFORMS,FOOTBALL UNIFORMS,F/Ball Uniform Asst Set,980000260,OTHERS,,,,N,UNIFORMS_FOOTBALL_UNIFORMS_F_Ball_Uniform_Asst_Set_OTHERS_0980000260.JPG,,SET,N,,,N,,,
UNIFORMS,FOOTBALL UNIFORMS,F/Ball Uniform Bari Jer+Shrt Navy/Orng-Ps09-01,7008000067,MESUCA,NAVY/ORANGE,,,N,UNIFORMS_FOOTBALL_UNIFORMS_F_Ball_Uniform_Bari_Jer_Shrt_Navy_Orng_Ps09_01_MESUCA_7008000067.JPG,,SET,N,,,N,,,
UNIFORMS,FOOTBALL UNIFORMS,F/Ball Uniform Bari Jer+Shrt White/Black-Ps09-,7008000074,MESUCA,WHITE/BLACK,,,N,UNIFORMS_FOOTBALL_UNIFORMS_F_Ball_Uniform_Bari_Jer_Shrt_White_Black_Ps09_MESUCA_7008000074.JPG,,SET,N,,,N,,,
UNIFORMS,FOOTBALL UNIFORMS,F/Ball Uniform Bari Jersey/Short,7008000066,MESUCA,P.GREEN/S.YELLOW,,,N,,,SET,N,,,N,,,
UNIFORMS,FOOTBALL UNIFORMS,F/Ball Uniform Bari Jersey/Short,7008000068,MESUCA,ROYAL/SKY,,,N,UNIFORMS_FOOTBALL_UNIFORMS_F_Ball_Uniform_Bari_Jersey_Short_MESUCA_7008000068.JPG,,SET,N,,,N,,,
UNIFORMS,FOOTBALL UNIFORMS,F/Ball Uniform Bari Jersey/Short,7008000069,MESUCA,S.YELLOW/ROYAL,,,N,UNIFORMS_FOOTBALL_UNIFORMS_F_Ball_Uniform_Bari_Jersey_Short_MESUCA_7008000069.JPG,,SET,N,,,N,,,
UNIFORMS,FOOTBALL UNIFORMS,F/Ball Uniform Bari Jersey/Short,7008000070,MESUCA,PURPLE/BLACK,,,N,UNIFORMS_FOOTBALL_UNIFORMS_F_Ball_Uniform_Bari_Jersey_Short_MESUCA_7008000070.JPG,,SET,N,,,N,,,
UNIFORMS,FOOTBALL UNIFORMS,F/Ball Uniform Bari Jersey/Short,7008000071,MESUCA,ORANGE/ROYAL,,,N,UNIFORMS_FOOTBALL_UNIFORMS_F_Ball_Uniform_Bari_Jersey_Short_MESUCA_7008000071.JPG,,SET,N,,,N,,,
UNIFORMS,FOOTBALL UNIFORMS,F/Ball Uniform Bari Jersey/Short,7008000073,MESUCA,WHITE/K.GREEN,,,N,,,SET,N,,,N,,,
UNIFORMS,FOOTBALL UNIFORMS,F/Ball Uniform Champion Iii/Tokio Jersey/Short,983000026,JOMA,BLACK/WHITE,,,Y,UNIFORMS_FOOTBALL_UNIFORMS_F_Ball_Uniform_Champion_Iii_Tokio_Jersey_Short_JOMA_0983000026.JPG,,SET,N,,,N,,,
UNIFORMS,FOOTBALL UNIFORMS,F/Ball Uniform Comfit Elite Adult,981300316,CONNATE,AZURE/WHITE,,,N,,,SET,N,,,N,,,
UNIFORMS,FOOTBALL UNIFORMS,F/Ball Uniform Comfit Genoa Adult,981300216,CONNATE,AZURE/WHITE,,,N,UNIFORMS_FOOTBALL_UNIFORMS_F_Ball_Uniform_Comfit_Genoa_Adult_CONNATE_0981300216.JPG,,SET,N,,,N,,,
UNIFORMS,FOOTBALL UNIFORMS,F/Ball Uniform Comfit Rio Adult,981300116,CONNATE,AZURE/WHITE,,,N,UNIFORMS_FOOTBALL_UNIFORMS_F_Ball_Uniform_Comfit_Rio_Adult_CONNATE_0981300116.JPG,,SET,N,,,N,,,
UNIFORMS,FOOTBALL UNIFORMS,F/Ball Uniform Copa/Tokio Jersey/Short Set Of 16,983000019,JOMA,BLACK/WHITE,,,N,UNIFORMS_FOOTBALL_UNIFORMS_F_Ball_Uniform_Copa_Tokio_Jersey_Short_Set_Of_16_JOMA_0983000019.JPG,,SET,N,,,N,,,
UNIFORMS,FOOTBALL UNIFORMS,F/Ball Uniform Entrada (Set Of 14) Jer Regi 14 Shr Roy/Wht ,880002320,ADIDAS,,,,N,UNIFORMS_FOOTBALL_UNIFORMS_F_Ball_Uniform_Entrada_Set_Of_14_Jer_Regi_14_Shr_Roy_Wht_ADIDAS_0880002320.JPG,,SET,N,,,N,,,
UNIFORMS,FOOTBALL UNIFORMS,F/Ball Uniform Entrada (Set Of 14) Jer Regi 14 Shr Wht/Blk ,880002321,ADIDAS,,,,N,UNIFORMS_FOOTBALL_UNIFORMS_F_Ball_Uniform_Entrada_Set_Of_14_Jer_Regi_14_Shr_Wht_Blk_ADIDAS_0880002321.JPG,,SET,N,,,N,,,
UNIFORMS,FOOTBALL UNIFORMS,F/Ball Uniform Entrada (Set Of 14) Jer/Shr Black/White ,880002322,ADIDAS,,,,N,UNIFORMS_FOOTBALL_UNIFORMS_F_Ball_Uniform_Entrada_Set_Of_14_Jer_Shr_Black_White_ADIDAS_0880002322.JPG,,SET,N,,,N,,,
UNIFORMS,FOOTBALL UNIFORMS,F/Ball Uniform Entrada (Set Of 14) Jer/Shr Navy/White ,880002323,ADIDAS,,,,N,UNIFORMS_FOOTBALL_UNIFORMS_F_Ball_Uniform_Entrada_Set_Of_14_Jer_Shr_Navy_White_ADIDAS_0880002323.JPG,,SET,N,,,N,,,
UNIFORMS,FOOTBALL UNIFORMS,F/Ball Uniform Entrada (Set Of 14) Jer/Shr Orange/White ,880002324,ADIDAS,,,,N,UNIFORMS_FOOTBALL_UNIFORMS_F_Ball_Uniform_Entrada_Set_Of_14_Jer_Shr_Orange_White_ADIDAS_0880002324.JPG,,SET,N,,,N,,,
UNIFORMS,FOOTBALL UNIFORMS,F/Ball Uniform Entrada (Set Of 14) Jer/Shr Red/White ,880002325,ADIDAS,,,,N,UNIFORMS_FOOTBALL_UNIFORMS_F_Ball_Uniform_Entrada_Set_Of_14_Jer_Shr_Red_White_ADIDAS_0880002325.JPG,,SET,N,,,N,,,
UNIFORMS,FOOTBALL UNIFORMS,F/Ball Uniform Entrada (Set Of 14) Jer/Shr White/Red ,880002326,ADIDAS,,,,N,UNIFORMS_FOOTBALL_UNIFORMS_F_Ball_Uniform_Entrada_Set_Of_14_Jer_Shr_White_Red_ADIDAS_0880002326.JPG,,SET,N,,,N,,,
UNIFORMS,FOOTBALL UNIFORMS,F/Ball Uniform Entrada (Set Of 14) Jer/Shr Yellow/Black,880002327,ADIDAS,,,,N,UNIFORMS_FOOTBALL_UNIFORMS_F_Ball_Uniform_Entrada_Set_Of_14_Jer_Shr_Yellow_Black_ADIDAS_0880002327.JPG,,SET,N,,,N,,,
UNIFORMS,FOOTBALL UNIFORMS,F/Ball Uniform Fineknit Plain,981100116,CONNATE,B.YELLOW,,,N,UNIFORMS_FOOTBALL_UNIFORMS_F_Ball_Uniform_Fineknit_Plain_CONNATE_0981100116.JPG,,SET,N,,,N,,,
UNIFORMS,FOOTBALL UNIFORMS,F/Ball Uniform Fineknit Plain Junior,981101116,CONNATE,B.YELLOW/WHITE,,,N,UNIFORMS_FOOTBALL_UNIFORMS_F_Ball_Uniform_Fineknit_Plain_Junior_CONNATE_0981101116.JPG,,SET,N,,,N,,,
UNIFORMS,FOOTBALL UNIFORMS,F/Ball Uniform Fineknit Simba Junior,981101416,CONNATE,B.YELLOW/WHITE,,,N,UNIFORMS_FOOTBALL_UNIFORMS_F_Ball_Uniform_Fineknit_Simba_Junior_CONNATE_0981101416.JPG,,SET,N,,,N,,,
UNIFORMS,FOOTBALL UNIFORMS,F/Ball Uniform Fineknit Simba W/No'S,981100416,CONNATE,B.YELLOW/WHITE,,,N,UNIFORMS_FOOTBALL_UNIFORMS_F_Ball_Uniform_Fineknit_Simba_W_No_S_CONNATE_0981100416.JPG,,SET,N,,,N,,,
UNIFORMS,FOOTBALL UNIFORMS,F/Ball Uniform Fire Ii/Nobel Jer/Shr Set Of 16,983000018,JOMA,BLACK/GOLD ( 1SET LESS 1PC),,,N,,,SET,N,,,N,,,
UNIFORMS,FOOTBALL UNIFORMS,F/Ball Uniform J/S V3.08/Vencida Set Of 12,790000399,PUMA,NAVY/G.YELL,,,Y,,,SET,N,,,N,,,
UNIFORMS,FOOTBALL UNIFORMS,F/Ball Uniform J/S V3.08/Vencida Set Of 14,790000401,PUMA,GREEN/YELLOW,,,Y,,,SET,N,,,N,,,
UNIFORMS,FOOTBALL UNIFORMS,F/Ball Uniform J/S V3.08/Vencida Set Of 16,790000397,PUMA,GREEN/WHITE,,,Y,,,SET,N,,,N,,,
UNIFORMS,FOOTBALL UNIFORMS,F/Ball Uniform Jersey/Short (Loose),121000135,PEAK,GREEN/WHITE,,,N,UNIFORMS_FOOTBALL_UNIFORMS_F_Ball_Uniform_Jersey_Short_Loose_PEAK_0121000135.JPG,,SET,N,,,N,,,
